Pedidos sem arquivo de NOTA FISCAL (D-2) ate o momento

Data;Numero do Pedido;CNPJ Cliente;CNPJ / CDD;Nome do Arquivo
01/04/2022 08:47:00;17935521;15.824.616/0001-54;01.206.820/0004-40 - PANPHARMA - RJ;PEDACH_01206820000440_20220401084655_0017935521.txt
01/04/2022 09:20:00;17936059;63.503.007/0025-13;07.224.991/0017-00 - NAZARIA - MA (IMPERATRIZ);PEDFAR_07224991001700_20220401092016_0017936059.txt
01/04/2022 10:20:00;17936285;13.771.635/0001-34;44.463.156/0001-84 - SERVIMED - SP;PEDFAR_44463156000184_20220401102010_0017936285.txt
01/04/2022 10:26:00;17936312;01.276.256/0011-60;01.206.820/0007-92 - PANPHARMA - DF;PEDACH_01206820000792_20220401102603_0017936312.txt
01/04/2022 10:26:00;17936326;28.464.601/0005-06;04.429.478/0179-15 - SB COMÉRCIO BELEM;PEDFAR_04429478017915_20220401102628_0017936326.txt
01/04/2022 10:30:00;17936334;01.276.256/0001-99;01.206.820/0007-92 - PANPHARMA - DF;PEDACH_01206820000792_20220401102937_0017936334.txt
01/04/2022 14:26:00;17936758;11.673.820/0001-60;44.463.156/0001-84 - SERVIMED - SP;PEDFAR_44463156000184_20220401142541_0017936758.txt
01/04/2022 14:34:00;17936774;05.623.124/0001-47;07.224.991/0017-00 - NAZARIA - MA (IMPERATRIZ);PEDFAR_07224991001700_20220401143408_0017936774.txt
01/04/2022 15:57:00;27936839;26.855.624/0001-84;01.206.820/0004-40 - PANPHARMA - RJ;PEDACH_01206820000440_20220401152831_0027936839.txt
01/04/2022 15:57:00;17936956;31.899.171/0001-28;45.453.214/0026-00 - PROFARMA - RJ;PEDACH_45453214002600_20220401155719_0017936956.txt
01/04/2022 16:32:00;27937028;01.729.455/0001-05;07.224.991/0017-00 - NAZARIA - MA (IMPERATRIZ);PEDFAR_07224991001700_20220401161401_0027937028.txt
01/04/2022 16:47:00;27936485;21.983.447/0001-06;45.453.214/0029-52 - PROFARMA - AL;PEDACH_45453214002952_20220401115453_0027936485.txt
01/04/2022 17:07:00;17937213;28.935.534/0001-29;45.453.214/0026-00 - PROFARMA - RJ;PEDACH_45453214002600_20220401170714_0017937213.txt
01/04/2022 17:15:00;17937255;;44.463.156/0001-84 - SERVIMED - SP;PEDFAR_44463156000184_20220401171430_0017937255.txt
01/04/2022 17:18:00;17937286;28.790.533/0001-33;61.940.292/0017-02 - SANTA CRUZ - RJ;PEDACH_61940292001702_00000017937286.txt
01/04/2022 17:20:00;17937291;07.975.698/0001-00;61.940.292/0046-39 - SANTA CRUZ - SP - ARARAQ;PEDACH_61940292004639_00000017937291.txt
01/04/2022 17:45:00;17937440;08.680.557/0001-22;92.665.611/0103-00 - DIMED PASSO FUNDO;PEDxxx_92665611010300_20220401174527_00179374400007937440.txt
01/04/2022 17:51:00;37937191;02.496.950/0001-84;61.940.292/0053-68 - SANTA CRUZ - ES;PEDACH_61940292005368_00000037937191.txt
01/04/2022 17:56:00;37937220;11.150.641/0009-04;61.940.292/0001-37 - SANTA CRUZ - SP - OSASCO;PEDACH_61940292000137_00000037937220.txt
01/04/2022 18:22:00;37937321;12.846.956/0005-11;61.940.292/0001-37 - SANTA CRUZ - SP - OSASCO;PEDACH_61940292000137_00000037937321.txt
01/04/2022 18:22:00;37937354;12.846.956/0012-40;61.940.292/0001-37 - SANTA CRUZ - SP - OSASCO;PEDACH_61940292000137_00000037937354.txt
01/04/2022 18:22:00;27937578;81.833.543/0001-91;44.463.156/0007-70 - SERVIMED - PR;PEDFAR_44463156000770_20220401180225_0027937578.txt
01/04/2022 18:37:00;37937523;12.846.956/0018-36;61.940.292/0001-37 - SANTA CRUZ - SP - OSASCO;PEDACH_61940292000137_00000037937523.txt
01/04/2022 19:19:00;17937896;19.754.158/0001-85;61.940.292/0053-68 - SANTA CRUZ - ES;PEDACH_61940292005368_00000017937896.txt
01/04/2022 19:32:00;27937885;73.707.929/0001-29;61.940.292/0055-20 - SANTA CRUZ - BA;PEDACH_61940292005520_00000027937885.txt
01/04/2022 19:42:00;27937893;13.126.537/0001-44;61.940.292/0055-20 - SANTA CRUZ - BA;PEDACH_61940292005520_00000027937893.txt
01/04/2022 19:44:00;17937946;00.447.821/0006-85;45.453.214/0024-48 - PROFARMA - GO;PEDACH_45453214002448_20220401194424_0017937946.txt
01/04/2022 20:18:00;17938002;06.221.416/0001-16;45.453.214/0027-90 - PROFARMA - PE;PEDACH_45453214002790_20220401201743_0017938002.txt
01/04/2022 21:16:00;37938050;17.040.906/0186-94;92.665.611/0322-90 - DIMED ELDORADO DO SUL;PEDxxx_92665611032290_20220401203124_00379380500007938050.txt
01/04/2022 21:36:00;27936652;28.464.601/0005-06;04.429.478/0179-15 - SB COMÉRCIO BELEM;PEDFAR_04429478017915_20220401130311_0027936652.txt
01/04/2022 21:57:00;37938103;05.215.792/0001-35;45.453.214/0031-77 - PROFARMA - RS;PEDACH_45453214003177_20220401212315_0037938103.txt
