PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18094318;7896181909279;48;02/05/2022;0;;;FALTA ESTOQUE
18094413;7896181928676;20;02/05/2022;20;20;00432000;PRODUTO FATURADO
18094651;7896181924098;24;02/05/2022;24;24;00432090;PRODUTO FATURADO
18095169;7896181925811;1;02/05/2022;0;;;FALTA ESTOQUE
18095673;7896181928683;45;02/05/2022;0;;;FALTA ESTOQUE
18095821;7896181927730;10;02/05/2022;0;;;FALTA ESTOQUE
18094286;7896181922377;12;02/05/2022;12;12;00431994;PRODUTO FATURADO
18094303;7896181922377;12;02/05/2022;0;;;FALTA ESTOQUE
18094399;7896181924098;24;02/05/2022;24;24;00432006;PRODUTO FATURADO
18094413;7896181915041;15;02/05/2022;0;;;FALTA ESTOQUE
18094413;7896181928669;20;02/05/2022;20;20;00432000;PRODUTO FATURADO
18094651;7896181911128;24;02/05/2022;0;;;FALTA ESTOQUE
18094651;7896181911517;10;02/05/2022;0;;;FALTA ESTOQUE
18094255;7896181924098;24;02/05/2022;24;24;00432101;PRODUTO FATURADO
18094490;7896181924098;24;02/05/2022;24;24;00432106;PRODUTO FATURADO
18099803;7896181924098;24;03/05/2022;0;;;FALTA ESTOQUE
18094280;7896181924098;24;02/05/2022;24;24;00432011;PRODUTO FATURADO
18094413;7896181924098;12;02/05/2022;12;12;00432000;PRODUTO FATURADO
18094280;7896181922377;12;02/05/2022;12;12;00432011;PRODUTO FATURADO
18094413;7896181915034;10;02/05/2022;0;;;FALTA ESTOQUE
18094490;7896181909279;24;02/05/2022;24;24;00432106;PRODUTO FATURADO
18094651;7896181909279;24;02/05/2022;24;24;00432090;PRODUTO FATURADO
18094651;7896181927655;10;02/05/2022;10;10;00432090;PRODUTO FATURADO
18094269;7896181909293;12;02/05/2022;12;12;00432094;PRODUTO FATURADO
18094269;7896181922377;12;02/05/2022;12;12;00432094;PRODUTO FATURADO
18094399;7896181922377;12;02/05/2022;0;;;FALTA ESTOQUE
18095169;7896181906322;6;02/05/2022;6;6;00431991;PRODUTO FATURADO
18095169;7896181919322;6;02/05/2022;0;;;FALTA ESTOQUE
18095169;7896181922377;6;02/05/2022;0;;;FALTA ESTOQUE
18095673;7896181915034;10;02/05/2022;0;;;FALTA ESTOQUE
18101451;7896181908302;6;03/05/2022;0;;;FALTA ESTOQUE
18095169;7896181926597;6;02/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18095414;7896181926696;1;02/05/2022;0;;;FALTA ESTOQUE
18095673;7896181921363;6;02/05/2022;6;6;00432120;PRODUTO FATURADO
18095169;7896181913252;6;02/05/2022;6;6;00431991;PRODUTO FATURADO
18095169;7896181916963;6;02/05/2022;6;6;00431991;PRODUTO FATURADO
18095169;7896181916987;6;02/05/2022;6;6;00431991;PRODUTO FATURADO
18095169;7896181917007;6;02/05/2022;6;6;00431991;PRODUTO FATURADO
18095512;7896181921783;2;02/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18095673;7896181909880;10;02/05/2022;0;;;FALTA ESTOQUE
18095673;7896181921325;6;02/05/2022;6;6;00432120;PRODUTO FATURADO
18094262;7896181924098;24;02/05/2022;24;24;00432024;PRODUTO FATURADO
18095169;7896181907633;3;02/05/2022;0;;;FALTA ESTOQUE
18095169;7896181924845;6;02/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18095169;7896181927044;3;02/05/2022;0;;;FALTA ESTOQUE
18095414;7896181921011;6;02/05/2022;0;;;FALTA ESTOQUE
18095414;7896181925224;2;02/05/2022;0;;;FALTA ESTOQUE
18095169;7896181909279;6;02/05/2022;6;6;00431991;PRODUTO FATURADO
18095169;7896658038303;3;02/05/2022;3;3;00431991;PRODUTO FATURADO
18095414;7896181924098;6;02/05/2022;6;6;00432010;PRODUTO FATURADO
18095673;7896181914280;40;02/05/2022;0;;;FALTA ESTOQUE
18095673;7896181921288;6;02/05/2022;6;6;00432120;PRODUTO FATURADO
18098614;7896181911012;10;03/05/2022;0;;;PROBLEMAS CADASTRAIS (Cliente Bloqueado)
18098614;7896181922377;48;03/05/2022;0;;;PROBLEMAS CADASTRAIS (Cliente Bloqueado)
18098614;7896181928669;100;03/05/2022;0;;;PROBLEMAS CADASTRAIS (Cliente Bloqueado)
18098614;7896181924098;48;03/05/2022;0;;;PROBLEMAS CADASTRAIS (Cliente Bloqueado)
18094285;7896181922377;12;02/05/2022;12;12;00431998;PRODUTO FATURADO
18094303;7896181924098;24;02/05/2022;24;24;00432001;PRODUTO FATURADO
18101451;7896181906384;6;03/05/2022;6;6;00432189;PRODUTO FATURADO
18095169;7896181924098;6;02/05/2022;6;6;00431991;PRODUTO FATURADO
18095414;7896181911128;12;02/05/2022;0;;;FALTA ESTOQUE
18095414;7896181911159;4;02/05/2022;0;;;FALTA ESTOQUE
18095673;7896181915027;10;02/05/2022;0;;;FALTA ESTOQUE
18108387;7896181928676;60;04/05/2022;60;60;00432463;PRODUTO FATURADO
18096201;7896181927730;4;02/05/2022;0;;;FALTA ESTOQUE
18108015;7896181920540;10;04/05/2022;0;;;FALTA ESTOQUE
18108015;7896181916963;40;04/05/2022;40;40;00432318;PRODUTO FATURADO
18108387;7896181928669;60;04/05/2022;60;60;00432463;PRODUTO FATURADO
18108015;7896181916987;40;04/05/2022;40;40;00432318;PRODUTO FATURADO
18108443;7896181917410;6;04/05/2022;0;;;FALTA ESTOQUE
18121222;7896181920854;20;06/05/2022;0;;;FALTA ESTOQUE
18121222;7896181923367;20;06/05/2022;2;2;00432770;PRODUTO ATENDIDO PARCIALMENTE
18121222;7896658035371;30;06/05/2022;0;;;FALTA ESTOQUE
18121232;7896181925224;10;06/05/2022;0;;;FALTA ESTOQUE
18121232;7896181928676;30;06/05/2022;30;30;00432771;PRODUTO FATURADO
18121232;7896181913580;10;06/05/2022;0;;;FALTA ESTOQUE
18121232;7896181928669;30;06/05/2022;30;30;00432771;PRODUTO FATURADO
18131477;7896181918707;48;09/05/2022;0;;;FALTA ESTOQUE
18131478;7896181925828;12;09/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18132745;7896181915027;6;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181921011;12;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181926757;4;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181926788;3;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181927587;3;09/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18132745;7896181927594;3;09/05/2022;0;;;FALTA ESTOQUE
18124673;7896181921011;24;06/05/2022;0;;;FALTA ESTOQUE
18124673;7896658038495;3;06/05/2022;3;3;00432839;PRODUTO FATURADO
18131477;7896181925996;1;09/05/2022;1;1;00432969;PRODUTO FATURADO
18131478;7896181909712;60;09/05/2022;60;60;00432953;PRODUTO FATURADO
18121232;7896181902041;20;06/05/2022;0;;;FALTA ESTOQUE
18121232;7896181909279;1;06/05/2022;0;;;FALTA ESTOQUE
18121232;7896181927037;10;06/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18121232;7896658038310;4;06/05/2022;4;4;00432771;PRODUTO FATURADO
18132745;7896181926696;4;09/05/2022;0;;;FALTA ESTOQUE
18131477;7896181922377;4;09/05/2022;0;;;FALTA ESTOQUE
18131478;7896181906322;60;09/05/2022;60;60;00432953;PRODUTO FATURADO
18131477;7896181911036;12;09/05/2022;0;;;FALTA ESTOQUE
18131477;7896181914280;12;09/05/2022;0;;;FALTA ESTOQUE
18131477;7896181927044;4;09/05/2022;0;;;FALTA ESTOQUE
18131478;7896181925866;12;09/05/2022;0;;;FALTA ESTOQUE
18132743;7896181917410;6;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181914280;20;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181915041;12;09/05/2022;0;;;FALTA ESTOQUE
