PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18092603;7896181918691;150;14/04/2022;150;150;00000000000006016703;ATENDIDO
18092611;7896658002946;15;14/04/2022;0;;;CLIENTE BLOQUEADO
18092636;7896181913542;1;14/04/2022;0;;;PRODUTO DESCONTINUADO
18092637;7896181921011;1;14/04/2022;1;1;00000000000003051002;ATENDIDO
18092727;7896181907077;2;14/04/2022;0;;;PRODUTO DESCONTINUADO
18092727;7896181927655;1;14/04/2022;1;1;00000000000003051470;ATENDIDO
18092732;7896181909361;2;14/04/2022;0;;;FALTA DE ESTOQUE
18092733;7896181907077;1;14/04/2022;0;;;PRODUTO DESCONTINUADO
18092733;7896181927044;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092737;7896181914303;1;14/04/2022;1;1;00000000000003051054;ATENDIDO
18092742;7896658006920;6;14/04/2022;6;6;00000000000000427561;ATENDIDO
18092742;7896658009532;12;14/04/2022;0;;;FALTA DE ESTOQUE
18092742;7896658016691;12;14/04/2022;0;;;FALTA DE ESTOQUE
18092742;7896658033445;6;14/04/2022;0;;;FALTA DE ESTOQUE
18092742;7896658034770;12;14/04/2022;12;12;00000000000000427561;ATENDIDO
18092756;7896181900863;1;14/04/2022;1;1;00000000000003051007;ATENDIDO
18092757;7896181921011;1;14/04/2022;1;1;00000000000003052112;ATENDIDO
18092762;7896181913542;1;14/04/2022;0;;;PRODUTO DESCONTINUADO
18092762;7896181922377;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092763;7896181914303;4;14/04/2022;4;4;00000000000003051011;ATENDIDO
18092764;7896181914303;1;14/04/2022;1;1;00000000000003051945;ATENDIDO
18092768;7896181920854;1;14/04/2022;1;1;00000000000003051822;ATENDIDO
18092769;7896181904946;2;14/04/2022;2;2;00000000000003050935;ATENDIDO
18092769;7896181907077;1;14/04/2022;0;;;PRODUTO DESCONTINUADO
18092770;7896181904175;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092770;7896181927037;5;14/04/2022;0;;;FALTA DE ESTOQUE
18092770;7896181927693;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092772;7896181909880;2;14/04/2022;0;;;FALTA DE ESTOQUE
18092772;7896181927655;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092775;7896181924081;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092777;7896658002205;6;14/04/2022;0;;;PRODUTO DESCONTINUADO
18092777;7896658002946;2;14/04/2022;0;;;FALTA DE ESTOQUE
18092777;7896658005176;1;14/04/2022;1;1;00000000000018780123;ATENDIDO
18092823;7896181922667;2;14/04/2022;0;;;FALTA DE ESTOQUE
18092823;7896181927655;3;14/04/2022;0;;;FALTA DE ESTOQUE
18092826;7896181901327;2;14/04/2022;2;2;00000000000003051173;ATENDIDO
18092827;7896181922377;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092828;7896181918363;2;14/04/2022;0;;;FALTA DE ESTOQUE
18092829;7896181907077;2;14/04/2022;0;;;PRODUTO DESCONTINUADO
18092829;7896181918493;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092832;7896181904175;1;14/04/2022;0;;;FALTA DE ESTOQUE
18092832;7896181927044;1;14/04/2022;0;;;FALTA DE ESTOQUE
